E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45
capital pagado,reserva revalorización capital,sobreprecio venta acciones propias,reserva mayor valor del activo fijo,otras reservas,déficit acumulado período de desarrollo,utilidades retenidas,reserva futuros dividendos,utilidades acumuladas,pérdidas acumuladas menos,utilidad pérdida del ejercicio,dividendos provisorios,retiros,documentos protestados
capital social,reserva revalorización capital propio,,,,,,,utilidades acumuladas,,,,,
revalorizacion capital propio,c m provisoria k p f,,,,,,,resultados acumulados,,,,,
inversión y rentas suckot ltda,,,,,,,,ganancias acumuladas,,,,,
inmobiliaria e inversiones tockus ltda,,,,,,,,,,,,,
fondo de revalorización capital propio,,,,,,,,,,,,,
capital social,,,,,,,,,,,,,
fondo revaloriza capital propio,,,,,,,,,,,,,
