B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B15,B16,B17,B18,B19,B21,B22,B23,B24,B25,B26,B27,B28,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45
banco bci - pesos,,,,cheques por cobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caja moneda extranjera,,,,cheques protestados y o extraviados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caja clientes,,,,cuenta corriente del personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondos por rendir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco de chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco de chileus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco bci us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco bci cuenta ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondos mutuos corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondos mutuos moneda extranjera usd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago sodexo manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago c ch otros bco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val cja fte efect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ticket c fuerte sod ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ticket c fuerte acco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago transbank td,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago transbank tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago tarjeta din,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago edenred electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago sodexo electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago amipass tarjeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago c tarjeta erbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pago edenred manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarjeta casas com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondos fijos clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondos a rendir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco de chile cue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entradas cheques banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salidas cheques banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco de credito e i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entradas cheques banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salidas cheques banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transferencias banca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco estado cuenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entradas cheques banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salidas cheques banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondos fijos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boletas sin auxiliar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco crédito e inversiones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco corpbanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco santander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banco estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depósitos tarjetas de débito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depósitos tarjetas abc din,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depósitos tarjetas ripley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarjetas de credito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarjeta falabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depositos a plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anticipos de clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
